Ã…r,I alt,Hvete,Rug,Bygg,Havre,Blandkorn,Erter
1835,166,1,8,44,86,24,3
1845,225,2,10,62,112,33,6
1855,295,6,18,83,142,40,6
1865,283,8,17,81,138,34,5
1875,337,7,25,104,155,39,7
1890,328,7,24,97,166,28,6
1900,277,9,23,68,159,14,4
1901,243,8,23,59,137,11,5
1902,193,7,21,44,110,8,3
1903,267,8,23,66,152,12,6
1904,205,6,20,49,116,9,5
1905,294,8,28,68,171,12,7
1906,291,8,28,67,170,12,6
1907,219,7,25,52,125,7,3
1908,322,9,22,73,199,13,6
1909,269,9,26,63,156,10,5
1910,307,8,23,70,186,13,7
1911,270,9,23,67,156,10,5
1912,336,11,25,79,201,14,6
1913,332,12,22,85,192,15,6
1914,249,11,22,69,133,10,4
1915,295,12,17,77,173,13,3
1916,362,13,15,96,217,17,4
1917,336,14,15,94,194,16,3
1918,489,30,27,128,274,24,6
1919,414,23,23,110,233,20,5
1920,373,16,21,102,214,17,3
1921,313,16,22,79,179,14,3
1922,354,17,22,97,199,16,3
1923,256,16,20,74,133,11,2
1924,301,13,17,101,154,14,2
1925,335,13,16,113,175,16,2
1926,355,16,16,112,194,15,2
1927,332,17,15,102,184,12,2
1928,345,22,12,112,184,13,2
1929,322,20,14,99,176,11,2
1930,352,20,14,107,198,11,2
1931,265,16,10,92,138,8,1
1932,359,20,13,118,194,12,2
1933,325,21,11,100,180,11,2
1934,346,33,10,116,176,9,2
1935,380,51,12,123,182,10,2
1936,365,57,11,115,171,9,2
1937,408,68,11,129,188,10,2
1938,417,72,11,124,197,11,2
1939,401,78,6,103,201,12,1
1940,338,69,6,93,159,10,1
1941,370,76,7,106,164,15,2
1942,359,83,8,95,156,15,2
1943,365,79,7,92,171,14,2
1944,330,78,6,77,155,12,2
1945,349,86,4,81,165,11,2
1946,378,80,5,94,186,12,1
1947,269,46,2,81,132,7,1
1948,357,76,3,89,177,10,2
1949,329,67,2,86,163,10,1
1950,358,66,2,99,180,10,1
1951,344,40,1,123,170,9,1
1952,358,40,1,148,161,7,1
1953,433,39,1,206,179,7,1
1954,433,41,2,224,161,5,0
1955,362,32,1,209,114,5,1
1956,545,56,3,297,182,6,1
1957,487,30,1,315,136,4,1
1958,489,17,1,340,127,4,0
1959,448,20,2,304,118,4,0
1960,606,23,4,400,173,6,
1961,637,27,3,428,174,5,
1962,476,20,4,343,107,2,
1963,599,18,3,463,113,2,
1964,630,20,2,480,126,2,
1965,614,12,2,485,113,2,
1966,504,4,1,405,92,2,
1967,623,11,2,485,123,2,
1968,820,16,4,621,176,3,
1969,642,11,4,486,140,1,
1970,826,12,5,580,228,1,
1971,864,10,5,569,279,1,
1972,811,12,5,522,271,1,
1973,912,20,6,535,349,2,
1974,1128,62,11,649,404,2,
1975,757,48,4,445,259,1,
1976,845,65,7,486,287,,
1977,1076,78,8,630,360,,
1978,1123,80,8,668,367,,
1979,1106,67,5,651,383,,
1980,1149,65,5,651,428,,
1981,1132,58,3,607,464,,
1982,1195,75,2,623,495,,
1983,1070,97,3,569,401,,
1984,1416,170,7,658,581,,
1985,1268,170,3,601,494,,
1986,1108,159,3,545,401,,
1987,1285,249,4,566,466,,
1988,1066,148,2,542,374,,
1989,1180,140,3,614,423,,
1990,1568,224,3,740,601,,
1991,1482,246,5,663,568,,
1992,1006,193,,488,325,,
1993,1371,360,,631,380,,
1994,983,195,,524,264,,
1995,1212.5,312.2,,546.7,353.6,,
1996,1333.2,266.3,,681.7,385.2,,
1997,1278.2,255.5,,663.1,359.6,,
1998,1357.7,323.4,28.3,619.4,386.6,,
1999,1218.2,229.7,9.4,623.6,355.5,,
2000,1299.9,313.4,16.1,573.5,396.9,,
2001,1219.1,259.1,5.9,623.7,330.4,,
2002,1142.1,261.5,9.0,592.9,278.7,,
2003,1287.3,349.5,19.4,584.8,333.6,,
2004,1444.6,406.8,40.6,630.5,366.7,,
2005,1298.5,395.4,34.8,589.3,279.0,,
2006,1169.2,357.0,26.2,537.6,248.4,,
2007,1202.4,401.1,40.0,485.3,276.0,,
2008,1386.9,453.3,47.6,558.2,327.8,,
2009,1054.9,278.0,27.4,473,276.5,,
2010,1205.8,331.4,34.2,541.2,299.0,,
2011,1026.8,284.6,16.3,494.6,231.3,,
2012,1084.7,274.7,4.9,573.2,231.9,,
2013,965.2,213.0,12.7,515.3,224.2,,
2014,1238.1,389.6,38.1,527.4,283.0,,
2015,1357.9,495.2,66.2,510.7,285.8,,
2016,1326,309.4,23.1,634.8,358.7,,
2017,1307.3,400.5,50,574.1,282.7,,
2018,743.1,137.7,7.9,440.9,156.6,,
2019,1296.4,450.1,51,565.5,229.8,,